"formal_name","location_address","suburb","postcode","address","latitude","longitude","category"
"Bupa South Morang","18-22 MCGLYNN Avenue","SOUTH MORANG","3752","18-22 MCGLYNN Avenue, SOUTH MORANG, VIC, 3752, Australia",-37.654648,145.088147,"RACF"
"Bupa Templestowe","222-228 Serpells Road","TEMPLESTOWE","3106","222-228 Serpells Road, TEMPLESTOWE, VIC, 3106, Australia",-37.767209,145.153398,"RACF"
"Bupa Traralgon","96 PARK Lane","TRARALGON","3844","96 PARK Lane, TRARALGON, VIC, 3844, Australia",-38.179551,146.550672,"RACF"
"Bupa Windsor","102-104 UNION Street","WINDSOR","3181","102-104 UNION Street, WINDSOR, VIC, 3181, Australia",-37.854294,144.9887,"RACF"
"Bupa Wodonga","11-19 Melrose Drive","WODONGA","3690","11-19 Melrose Drive, WODONGA, VIC, 3690, Australia",-36.11629805,146.86693586685,"RACF"
"Bupa Woodend","2 SULLIVANS Road","WOODEND","3442","2 SULLIVANS Road, WOODEND, VIC, 3442, Australia",-37.363039,144.535484,"RACF"
"Cabrini Residential Care-Ashwood","54 Queens Parade","ASHWOOD","3147","54 Queens Parade, ASHWOOD, VIC, 3147, Australia",-37.870302,145.09537,"RACF"
"Caladenia Nursing Home","Rutledge Street","KILMORE","3764","Rutledge Street, KILMORE, VIC, 3764, Australia",-37.3006388,144.954095,"RACF"
"Calvary Balmoral Grove","24-34 SMITH Street","GROVEDALE","3216","24-34 SMITH Street, GROVEDALE, VIC, 3216, Australia",-38.20219835,144.344360763783,"RACF"
"Calvary Barongarook Gardens","8-32 Murray Street","COLAC","3250","8-32 Murray Street, COLAC, VIC, 3250, Australia",-38.338768,143.594617,"RACF"
"Calvary Bayview","1295 FRANKSTON-DANDENONG Road","CARRUM DOWNS","3201","1295 FRANKSTON-DANDENONG Road, CARRUM DOWNS, VIC, 3201, Australia",-38.102156,145.17097,"RACF"
"Calvary Bonbeach","440 STATION Street","BONBEACH","3196","440 STATION Street, BONBEACH, VIC, 3196, Australia",-38.066862,145.120718,"RACF"
"Calvary Capel Sands","8-16 CAPEL Avenue","CAPEL SOUND","3940","8-16 CAPEL Avenue, CAPEL SOUND, VIC, 3940, Australia",-38.364564,144.876758,"RACF"
"Calvary Central Park","101 PUNT Road","WINDSOR","3181","101 PUNT Road, WINDSOR, VIC, 3181, Australia",-37.85162705,144.983197298981,"RACF"
"Calvary Cordelia Grove","5 WEIR Street","ANGLESEA","3230","5 WEIR Street, ANGLESEA, VIC, 3230, Australia",-38.405384,144.179573,"RACF"
"Calvary Elanora","7 MAIR Street","BRIGHTON","3186","7 MAIR Street, BRIGHTON, VIC, 3186, Australia",-37.92966695,144.99280198459,"RACF"
"Calvary Elouera","6-11 KOORINGA Place","TORQUAY","3228","6-11 KOORINGA Place, TORQUAY, VIC, 3228, Australia",-38.324428,144.315579,"RACF"
"Calvary George Vowell","1 Cobb Road","MOUNT ELIZA","3930","1 Cobb Road, MOUNT ELIZA, VIC, 3930, Australia",-38.20778,145.0746637,"RACF"
"Calvary Goonawarra","19-25 Anderson Road","SUNBURY","3429","19-25 Anderson Road, SUNBURY, VIC, 3429, Australia",-37.5771609,144.719114,"RACF"
"Calvary Hallam","47-49 BELGRAVE-HALLAM Road","HALLAM","3803","47-49 BELGRAVE-HALLAM Road, HALLAM, VIC, 3803, Australia",-37.999997,145.274304,"RACF"
"Calvary Kelaston","2-4 PARK Street","WENDOUREE","3355","2-4 PARK Street, WENDOUREE, VIC, 3355, Australia",-37.536398,143.825683,"RACF"
"Calvary Kingston Gardens","173-213 Clarke Road","SPRINGVALE SOUTH","3172","173-213 Clarke Road, SPRINGVALE SOUTH, VIC, 3172, Australia",-37.974639,145.144719,"RACF"
"Calvary Kirralee",NA,"BALLARAT","3350","NA, BALLARAT, VIC, 3350, Australia",-37.62363775,143.876614805251,"RACF"
"Calvary Lakes Entrance","23 Alexandra Avenue","KALIMNA","3909","23 Alexandra Avenue, KALIMNA, VIC, 3909, Australia",-37.876663,147.963106,"RACF"
"Calvary Lower Plenty Garden Views","390 MAIN Road","LOWER PLENTY","3093","390 MAIN Road, LOWER PLENTY, VIC, 3093, Australia",-37.7304465,145.1302421,"RACF"
"Calvary Millward","31 Blackburn Road","DONCASTER EAST","3109","31 Blackburn Road, DONCASTER EAST, VIC, 3109, Australia",-37.799049,145.159765,"RACF"
"Calvary Mirridong","92-100 MCIVOR Road","BENDIGO","3550","92-100 MCIVOR Road, BENDIGO, VIC, 3550, Australia",-36.758691,144.29888,"RACF"
"Calvary Narracan Gardens","17 AMAROO Way","NEWBOROUGH","3825","17 AMAROO Way, NEWBOROUGH, VIC, 3825, Australia",-38.17686,146.275599,"RACF"
"Calvary Roccoco","355-357 Wilsons Road","ST ALBANS PARK","3219","355-357 Wilsons Road, ST ALBANS PARK, VIC, 3219, Australia",-38.19077,144.387904,"RACF"
"Calvary Rosanna Views","269-271 Lower Plenty Road","ROSANNA","3084","269-271 Lower Plenty Road, ROSANNA, VIC, 3084, Australia",-37.736694,145.075274,"RACF"
"Calvary Rye Sands","36-40 Weir Street","RYE","3941","36-40 Weir Street, RYE, VIC, 3941, Australia",-38.374413,144.827073,"RACF"
"Calvary Sandhurst","20 HERBERT Road","CARRUM DOWNS","3201","20 HERBERT Road, CARRUM DOWNS, VIC, 3201, Australia",-38.090864,145.185863,"RACF"
"Calvary Scottvale","71 SCOTT Street","DANDENONG","3175","71 SCOTT Street, DANDENONG, VIC, 3175, Australia",-37.9862297,145.2056244,"RACF"
"Calvary Springvale","340-344 Springvale Road","SPRINGVALE","3171","340-344 Springvale Road, SPRINGVALE, VIC, 3171, Australia",-37.957017,145.151092,"RACF"
"Calvary St Jude's","381-403 NARRE WARREN NORTH Road","NARRE WARREN NORTH","3804","381-403 NARRE WARREN NORTH Road, NARRE WARREN NORTH, VIC, 3804, Australia",-37.9899144,145.312638857394,"RACF"
"Calvary Strzelecki House","27 GILES Street","MIRBOO NORTH","3871","27 GILES Street, MIRBOO NORTH, VIC, 3871, Australia",-38.402197,146.155867,"RACF"
"Calvary The Highbury","684 Highbury Road","GLEN WAVERLEY","3150","684 Highbury Road, GLEN WAVERLEY, VIC, 3150, Australia",-37.8624906,145.1717856,"RACF"
"Calvary The Regent","35-39 REGENT Street","MOUNT WAVERLEY","3149","35-39 REGENT Street, MOUNT WAVERLEY, VIC, 3149, Australia",-37.883162,145.136795,"RACF"
"Calvary Trugo Place","120 MASON Street","NEWPORT","3015","120 MASON Street, NEWPORT, VIC, 3015, Australia",-37.841223,144.873311,"RACF"
"Calvary Viewhills Manor","55 HEATHERTON Road","ENDEAVOUR HILLS","3802","55 HEATHERTON Road, ENDEAVOUR HILLS, VIC, 3802, Australia",-37.97529,145.276145,"RACF"
"Calvary Vonlea Manor","1-9 MORAN Place","NORLANE","3214","1-9 MORAN Place, NORLANE, VIC, 3214, Australia",-38.094387,144.345682,"RACF"
"Camberwell Green","12 HUNTER Road","CAMBERWELL","3124","12 HUNTER Road, CAMBERWELL, VIC, 3124, Australia",-37.837713,145.082959,"RACF"
"Cambridge House","3 CAMBRIDGE Street","COLLINGWOOD","3066","3 CAMBRIDGE Street, COLLINGWOOD, VIC, 3066, Australia",-37.808195,144.984620269338,"RACF"
"Carinya Lodge Homes","1 CARINYA Crescent","KORUMBURRA","3950","1 CARINYA Crescent, KORUMBURRA, VIC, 3950, Australia",-38.437714,145.811472,"RACF"
"Carinya Nursing Home (Frankston Extended Care)","34A BALAKA Street","CAPEL SOUND","3940","34A BALAKA Street, CAPEL SOUND, VIC, 3940, Australia",-38.370158,144.880253,"RACF"
"Carrum Downs Aged Care","80 WILLIAM Road","CARRUM DOWNS","3201","80 WILLIAM Road, CARRUM DOWNS, VIC, 3201, Australia",-38.099033,145.183777,"RACF"
"Carrum Downs Nursing Home (Meracare)","1135 FRANKSTON-DANDENONG Road","CARRUM DOWNS","3201","1135 FRANKSTON-DANDENONG Road, CARRUM DOWNS, VIC, 3201, Australia",-38.091655,145.180251,"RACF"
"Carshalton House Hostel","11 STONEHAM Street","GOLDEN SQUARE","3555","11 STONEHAM Street, GOLDEN SQUARE, VIC, 3555, Australia",-36.779711,144.256404,"RACF"
"Casey Aged Care","300 GOLF LINKS Road","NARRE WARREN","3805","300 GOLF LINKS Road, NARRE WARREN, VIC, 3805, Australia",-38.041215,145.305866,"RACF"
"Casey Manor Aged Care","445 ORMOND Road","NARRE WARREN SOUTH","3805","445 ORMOND Road, NARRE WARREN SOUTH, VIC, 3805, Australia",-38.064939,145.298344,"RACF"
"Casterton Memorial Hospital Nursing Home - Glenelg House","63-69 RUSSELL Street","CASTERTON","3311","63-69 RUSSELL Street, CASTERTON, VIC, 3311, Australia",-37.5902311,141.3932316,"RACF"
"Castlemaine Health - Residential Aged Care","20 Cornish Street","CASTLEMAINE","3450","20 Cornish Street, CASTLEMAINE, VIC, 3450, Australia",-37.0558175,144.2122141,"RACF"
"CCSSCI - On Luck Chinese Nursing Home","177-179 TINDALS Road","DONVALE","3111","177-179 TINDALS Road, DONVALE, VIC, 3111, Australia",-37.77129345,145.195316209378,"RACF"
"Chaffey Aged Care","2 Main Avenue  North","MERBEIN","3505","2 Main Avenue  North, MERBEIN, VIC, 3505, Australia",-34.1657985,142.0585779,"RACF"
"Charles Brownlow Retirement Village","157 SOUTH VALLEY Road","HIGHTON","3216","157 SOUTH VALLEY Road, HIGHTON, VIC, 3216, Australia",-38.190063,144.31545,"RACF"
"Charlesbrook Aged Care","1-11 INNISFALLEN Avenue","TEMPLESTOWE","3106","1-11 INNISFALLEN Avenue, TEMPLESTOWE, VIC, 3106, Australia",-37.753736,145.152071,"RACF"
"Charlton Aged Care","4 LEARMONTH Street","CHARLTON","3525","4 LEARMONTH Street, CHARLTON, VIC, 3525, Australia",-36.2703,143.351249,"RACF"
"Cheltenham Manor","10-12 BENDIGO Street","CHELTENHAM","3192","10-12 BENDIGO Street, CHELTENHAM, VIC, 3192, Australia",-37.96453985,145.05971232567,"RACF"
"Chestnut Gardens Aged Care Home","1 Chestnut Road","DOVETON","3177","1 Chestnut Road, DOVETON, VIC, 3177, Australia",-37.9953003,145.2329396,"RACF"
"Chomley House","113 CHOMLEY Street","PRAHRAN","3181","113 CHOMLEY Street, PRAHRAN, VIC, 3181, Australia",-37.854894,145.00587,"RACF"
"Churches of Christ Care Arcadia Aged Care Service","120 MCCRACKEN Street","ESSENDON","3040","120 MCCRACKEN Street, ESSENDON, VIC, 3040, Australia",-37.742889,144.904885,"RACF"
"Churches of Christ Care Oak Towers Aged Care Service","139 ATHERTON Road","OAKLEIGH","3166","139 ATHERTON Road, OAKLEIGH, VIC, 3166, Australia",-37.899344,145.097874,"RACF"
"Claremont Terrace","231-253 MCKINNON Road","MCKINNON","3204","231-253 MCKINNON Road, MCKINNON, VIC, 3204, Australia",-37.911341,145.041977,"RACF"
"Clifton Views","217-241 Queens Parade","FITZROY NORTH","3068","217-241 Queens Parade, FITZROY NORTH, VIC, 3068, Australia",-37.7865304,144.994349500127,"RACF"
"Clovelly Cottage","16 STEWART Street","BORONIA","3155","16 STEWART Street, BORONIA, VIC, 3155, Australia",-37.852256,145.289189,"RACF"
"Coates Hostel","1 JAMES Street","ST ARNAUD","3478","1 JAMES Street, ST ARNAUD, VIC, 3478, Australia",-36.608944,143.247871,"RACF"
"Cobram Regional Care","16 CAMPBELL Road","COBRAM","3644","16 CAMPBELL Road, COBRAM, VIC, 3644, Australia",-35.919772,145.660054,"RACF"
"Cohuna District Nursing Home","144-158 KING GEORGE Street","COHUNA","3568","144-158 KING GEORGE Street, COHUNA, VIC, 3568, Australia",-35.80008415,144.214756069194,"RACF"
"Cohuna Retirement Village","38 Augustine Street","COHUNA","3568","38 Augustine Street, COHUNA, VIC, 3568, Australia",-35.80015,144.21535,"RACF"
"Cooinda Lodge Nursing Home","41 LANDSBOROUGH Street","WARRAGUL","3820","41 LANDSBOROUGH Street, WARRAGUL, VIC, 3820, Australia",-38.172445,145.927329,"RACF"
"Cooinda Village Inc.","1-35 Kilfeera Road","BENALLA","3672","1-35 Kilfeera Road, BENALLA, VIC, 3672, Australia",-36.556863,145.999191,"RACF"
"Coptic Village Hostel","18 ST KYRILLOS Place","NARRE WARREN","3805","18 ST KYRILLOS Place, NARRE WARREN, VIC, 3805, Australia",-38.005934,145.286092,"RACF"
"Corangamarah","2-28 CONNOR Street","COLAC","3250","2-28 CONNOR Street, COLAC, VIC, 3250, Australia",-38.340956,143.582875,"RACF"
"Corpus Christi Community Greenvale Incorporated","855 MICKLEHAM Road","GREENVALE","3059","855 MICKLEHAM Road, GREENVALE, VIC, 3059, Australia",-37.63721895,144.879358725059,"RACF"
"Corryong Health","Kiell Street","CORRYONG","3707","Kiell Street, CORRYONG, VIC, 3707, Australia",-36.1977057,147.9029391,"RACF"
"Costa House - Karingal St Laurence (genU)","1 Investigator Avenue","LARA","3212","1 Investigator Avenue, LARA, VIC, 3212, Australia",-38.0255676,144.4024867,"RACF"
"CraigCare Berwick","21 Parkhill Drive","BERWICK","3806","21 Parkhill Drive, BERWICK, VIC, 3806, Australia",-38.02698095,145.326867988299,"RACF"
"CraigCare Moonee Ponds","88 Holmes Road","MOONEE PONDS","3039","88 Holmes Road, MOONEE PONDS, VIC, 3039, Australia",-37.765754,144.912916,"RACF"
"CraigCare Mornington","688 NEPEAN Highway","MOUNT MARTHA","3934","688 NEPEAN Highway, MOUNT MARTHA, VIC, 3934, Australia",-38.251335,145.037025,"RACF"
"CraigCare Pascoe Vale","1A VIRGINIA Street","PASCOE VALE","3044","1A VIRGINIA Street, PASCOE VALE, VIC, 3044, Australia",-37.715478,144.943575,"RACF"
"CraigCare Plumpton Villa","7 LEWIS Street","GLENROY","3046","7 LEWIS Street, GLENROY, VIC, 3046, Australia",-37.709294,144.921963,"RACF"
"Creswick Nursing Home","1 NAPIER Street","CRESWICK","3363","1 NAPIER Street, CRESWICK, VIC, 3363, Australia",-37.421401,143.891693,"RACF"
"Crossley House Hostel Inc","14 NICOL Street","YARRAM","3971","14 NICOL Street, YARRAM, VIC, 3971, Australia",-38.557623,146.678615,"RACF"
"Croydon Grove Care Community","77-115 Mt Dandenong Road","CROYDON","3136","77-115 Mt Dandenong Road, CROYDON, VIC, 3136, Australia",-37.800111,145.271421,"RACF"
"Cumberland Manor","25-27 Wiltshire Street","NORTH SUNSHINE","3020","25-27 Wiltshire Street, NORTH SUNSHINE, VIC, 3020, Australia",-37.7749349,144.8446611,"RACF"
"Cumberland View Aged Care Living - Whalley Drive","123-127 Whalley Drive","WHEELERS HILL","3150","123-127 Whalley Drive, WHEELERS HILL, VIC, 3150, Australia",-37.922289,145.198987,"RACF"
"Cyril Jewell House","68 HASSETT Crescent","KEILOR EAST","3033","68 HASSETT Crescent, KEILOR EAST, VIC, 3033, Australia",-37.737325,144.85782,"RACF"
"Darlingford Upper Goulburn Nursing Home","5 HIGH Street","EILDON","3713","5 HIGH Street, EILDON, VIC, 3713, Australia",-37.229806,145.913547,"RACF"
"Daylesford Nursing Home","13 HOSPITAL Street","DAYLESFORD","3460","13 HOSPITAL Street, DAYLESFORD, VIC, 3460, Australia",-37.33721345,144.145291480645,"RACF"
"Della dale Aged Care","17 DERWENT Street","RINGWOOD","3134","17 DERWENT Street, RINGWOOD, VIC, 3134, Australia",-37.803627,145.228581,"RACF"
"Deloraine Private Nursing Home","18 ADELINE Street","GREENSBOROUGH","3088","18 ADELINE Street, GREENSBOROUGH, VIC, 3088, Australia",-37.706935,145.094062,"RACF"
"Diana Street Lodge","17 DIANA Street","CROYDON","3136","17 DIANA Street, CROYDON, VIC, 3136, Australia",-37.799126,145.26042,"RACF"
"Dimboola District Hospital Nursing Home Unit","32-36 ANDERSON Street","DIMBOOLA","3414","32-36 ANDERSON Street, DIMBOOLA, VIC, 3414, Australia",-36.4498139,142.024446879836,"RACF"
"Donwood Aged Care","11 DIANA Street","CROYDON","3136","11 DIANA Street, CROYDON, VIC, 3136, Australia",-37.799673,145.260868,"RACF"
"Dorothy Impey Home","317A O'Hea Street","PASCOE VALE","3044","317A O'Hea Street, PASCOE VALE, VIC, 3044, Australia",-37.734769,144.936777,"RACF"
"Doutta Galla Avondale Heights Aged Care Facility","120 NORTH Road","AVONDALE HEIGHTS","3034","120 NORTH Road, AVONDALE HEIGHTS, VIC, 3034, Australia",-37.757277,144.852022,"RACF"
"Doutta Galla Footscray Aged Care Facility","48 Geelong Road","FOOTSCRAY","3011","48 Geelong Road, FOOTSCRAY, VIC, 3011, Australia",-37.797294,144.894673,"RACF"
"Doutta Galla Grantham Green Aged Care Facility","28-32 MAGNOLIA Street","ST ALBANS","3021","28-32 MAGNOLIA Street, ST ALBANS, VIC, 3021, Australia",-37.753083,144.820779,"RACF"
"Doutta Galla Lynch's Bridge Aged Care Facility","44 MARKET Street","KENSINGTON","3031","44 MARKET Street, KENSINGTON, VIC, 3031, Australia",-37.7895876,144.926423651951,"RACF"
"Doutta Galla Queens Park Aged Care Facility","13 The Strand","MOONEE PONDS","3039","13 The Strand, MOONEE PONDS, VIC, 3039, Australia",-37.76013205,144.924669037493,"RACF"
"Doutta Galla Woornack Aged Care Facility","6-8 KILLARA Street","SUNSHINE WEST","3020","6-8 KILLARA Street, SUNSHINE WEST, VIC, 3020, Australia",-37.787495,144.823272,"RACF"
"Doutta Galla Yarraville Village Aged Care Facility","34 A Somerville Road","YARRAVILLE","3013","34 A Somerville Road, YARRAVILLE, VIC, 3013, Australia",-37.813783,144.893823,"RACF"
"Drysdale Grove","33-37 WYNDHAM Street","DRYSDALE","3222","33-37 WYNDHAM Street, DRYSDALE, VIC, 3222, Australia",-38.172844,144.567759,"RACF"
"Dunmunkle Lodge Inc","1 Mcleod Street","MINYIP","3392","1 Mcleod Street, MINYIP, VIC, 3392, Australia",-36.458357,142.594166,"RACF"
"Dunolly Nursing Home","12 HAVELOCK Street","DUNOLLY","3472","12 HAVELOCK Street, DUNOLLY, VIC, 3472, Australia",-36.856537,143.735216,"RACF"
"Edenvale Manor Aged Care Facility","188A STERLING Drive","KEILOR EAST","3033","188A STERLING Drive, KEILOR EAST, VIC, 3033, Australia",-37.744664,144.849696,"RACF"
"Edgarley Home","85 Jackson Street","CASTERTON","3311","85 Jackson Street, CASTERTON, VIC, 3311, Australia",-37.590589,141.396774,"RACF"
"Edith Bendall Lodge","11 Park Street","PASCOE VALE","3044","11 Park Street, PASCOE VALE, VIC, 3044, Australia",-37.729078,144.925625,"RACF"
"Edward Street Nursing Home","2-4 Edward Street","UPPER FERNTREE GULLY","3156","2-4 Edward Street, UPPER FERNTREE GULLY, VIC, 3156, Australia",-37.898002,145.314183,"RACF"
"Elderly Chinese Home","125-129 Manningham Street","PARKVILLE","3052","125-129 Manningham Street, PARKVILLE, VIC, 3052, Australia",-37.78371,144.940818,"RACF"
"Embracia Moonee Valley","76-86 NORTH Road","AVONDALE HEIGHTS","3034","76-86 NORTH Road, AVONDALE HEIGHTS, VIC, 3034, Australia",-37.75534,144.855416,"RACF"
"Embracia Reservoir","65 GLASGOW Avenue","RESERVOIR","3073","65 GLASGOW Avenue, RESERVOIR, VIC, 3073, Australia",-37.703401,144.999053,"RACF"
"Emerald Hill Residence","203 NAPIER Street","SOUTH MELBOURNE","3205","203 NAPIER Street, SOUTH MELBOURNE, VIC, 3205, Australia",-37.837001,144.960677,"RACF"
"Emerald Terrace Aged Care","1 CHIVERS Road","TEMPLESTOWE","3106","1 CHIVERS Road, TEMPLESTOWE, VIC, 3106, Australia",-37.7608986,145.1461074,"RACF"
"Emmy Monash Aged Care","518-526 Dandenong Road","CAULFIELD NORTH","3161","518-526 Dandenong Road, CAULFIELD NORTH, VIC, 3161, Australia",-37.866236,145.026589,"RACF"
"Epping Gardens","25 WILLANDRA Drive","EPPING","3076","25 WILLANDRA Drive, EPPING, VIC, 3076, Australia",-37.647278,145.008823,"RACF"
"Epping Meadows Care Community","202 MCDONALDS Road","EPPING","3076","202 MCDONALDS Road, EPPING, VIC, 3076, Australia",-37.647904,145.060762,"RACF"
"Estia Health Altona Meadows","297 QUEEN Street","ALTONA MEADOWS","3028","297 QUEEN Street, ALTONA MEADOWS, VIC, 3028, Australia",-37.873812,144.787647,"RACF"
"Estia Health Ardeer","30 NORTH Street","ARDEER","3022","30 NORTH Street, ARDEER, VIC, 3022, Australia",-37.779275,144.807895,"RACF"
"Estia Health Bannockburn","71 MCPHILLIPS Road","BANNOCKBURN","3331","71 MCPHILLIPS Road, BANNOCKBURN, VIC, 3331, Australia",-38.03728295,144.16509162158,"RACF"
"Estia Health Benalla Vic","73 SAMARIA Road","BENALLA","3672","73 SAMARIA Road, BENALLA, VIC, 3672, Australia",-36.557056,145.996618,"RACF"
"Estia Health Bendigo","9 BROWN Street","LONG GULLY","3550","9 BROWN Street, LONG GULLY, VIC, 3550, Australia",-36.74454375,144.265281720153,"RACF"
"Estia Health Bentleigh","34-36 CLAIRMONT Avenue","BENTLEIGH","3204","34-36 CLAIRMONT Avenue, BENTLEIGH, VIC, 3204, Australia",-37.921903,145.026874,"RACF"
"Estia Health Coolaroo","15 MLADEN Court","COOLAROO","3048","15 MLADEN Court, COOLAROO, VIC, 3048, Australia",-37.657666,144.931367,"RACF"
"Estia Health Dandenong","147-151 DAVID Street","DANDENONG","3175","147-151 DAVID Street, DANDENONG, VIC, 3175, Australia",-37.977784,145.224264,"RACF"
"Estia Health Epping Vic","30 EPPING Road","EPPING","3076","30 EPPING Road, EPPING, VIC, 3076, Australia",-37.635172,145.027173,"RACF"
"Estia Health Glen Waverley","2B GRACE Street","GLEN WAVERLEY","3150","2B GRACE Street, GLEN WAVERLEY, VIC, 3150, Australia",-37.8788019,145.156353,"RACF"
"Estia Health Grovedale","6A PERRETT Street","GROVEDALE","3216","6A PERRETT Street, GROVEDALE, VIC, 3216, Australia",-38.208025,144.3409518,"RACF"
"Estia Health Heidelberg","413-415 Waterdale Road","HEIDELBERG WEST","3081","413-415 Waterdale Road, HEIDELBERG WEST, VIC, 3081, Australia",-37.748036,145.046458,"RACF"
"Estia Health Keysborough","15 STANLEY Road","KEYSBOROUGH","3173","15 STANLEY Road, KEYSBOROUGH, VIC, 3173, Australia",-37.9951963,145.16949272901,"RACF"
"Estia Health Knoxfield","428 SCORESBY Road","KNOXFIELD","3180","428 SCORESBY Road, KNOXFIELD, VIC, 3180, Australia",-37.882982,145.257377,"RACF"
"Estia Health Leopold","52-60 ASH Road","LEOPOLD","3224","52-60 ASH Road, LEOPOLD, VIC, 3224, Australia",-38.195536,144.467106,"RACF"
"Estia Health Melton South","34-42 BROOKLYN Road","MELTON SOUTH","3338","34-42 BROOKLYN Road, MELTON SOUTH, VIC, 3338, Australia",-37.7024022,144.5723145,"RACF"
"Estia Health Oakleigh East","23A ELIZABETH Street","OAKLEIGH","3166","23A ELIZABETH Street, OAKLEIGH, VIC, 3166, Australia",-37.89833,145.10973,"RACF"
"Estia Health Plenty Valley","806 Plenty Road","SOUTH MORANG","3752","806 Plenty Road, SOUTH MORANG, VIC, 3752, Australia",-37.652142,145.087211,"RACF"
"Estia Health Ringwood - Waldreas Village","211-217 Wantirna Road","RINGWOOD","3134","211-217 Wantirna Road, RINGWOOD, VIC, 3134, Australia",-37.836787,145.228687,"RACF"
"Estia Health South Morang - Heritage Lakes","879 PLENTY Road","SOUTH MORANG","3752","879 PLENTY Road, SOUTH MORANG, VIC, 3752, Australia",-37.64712485,145.090730250811,"RACF"
"Estia Health Victoria Heights","41-45 Victoria Street","IRONBARK","3550","41-45 Victoria Street, IRONBARK, VIC, 3550, Australia",-36.7516543,144.2660047,"RACF"
"Estia Health Wattle Glen","45 SILVAN Road","WATTLE GLEN","3096","45 SILVAN Road, WATTLE GLEN, VIC, 3096, Australia",-37.6543364,145.1940235,"RACF"
"Estia Health Werribee","8 RUSSELL Street","WERRIBEE","3030","8 RUSSELL Street, WERRIBEE, VIC, 3030, Australia",-37.908398,144.664925,"RACF"
"Estia Health Wodonga","240 FELLTIMBER CREEK Road","WODONGA","3690","240 FELLTIMBER CREEK Road, WODONGA, VIC, 3690, Australia",-36.131627,146.838726,"RACF"
"Estia Health Yarra Valley","21 HODDLE Street","YARRA JUNCTION","3797","21 HODDLE Street, YARRA JUNCTION, VIC, 3797, Australia",-37.784854,145.611968,"RACF"
"Eureka Village Hostel","16-40 BALMORAL Drive","BALLARAT EAST","3350","16-40 BALMORAL Drive, BALLARAT EAST, VIC, 3350, Australia",-37.559875,143.88963,"RACF"
"Eva Tilley Memorial Home","1100 BURKE Road","BALWYN NORTH","3104","1100 BURKE Road, BALWYN NORTH, VIC, 3104, Australia",-37.796683,145.063526,"RACF"
"Eventide Homes Stawell Inc","111 Patrick Street","STAWELL","3380","111 Patrick Street, STAWELL, VIC, 3380, Australia",-37.062696,142.792106,"RACF"
"Eventide Lutheran Homes","72 Ballarat Road","HAMILTON","3300","72 Ballarat Road, HAMILTON, VIC, 3300, Australia",-37.743661,142.040225,"RACF"
"Fairview Village","30 Sargeant Street","WARRAGUL","3820","30 Sargeant Street, WARRAGUL, VIC, 3820, Australia",-38.174364,145.92713,"RACF"
"Fairway Bayside Aged Care","195 BLUFF Road","SANDRINGHAM","3191","195 BLUFF Road, SANDRINGHAM, VIC, 3191, Australia",-37.9600766,145.018329096563,"RACF"
"Faversham House","27 SHIERLAW Avenue","CANTERBURY","3126","27 SHIERLAW Avenue, CANTERBURY, VIC, 3126, Australia",-37.823342,145.085206,"RACF"
"Forest Lodge Residential Aged Care","23 FOREST Drive","FRANKSTON NORTH","3200","23 FOREST Drive, FRANKSTON NORTH, VIC, 3200, Australia",-38.122557,145.146428,"RACF"
"Frankston Nursing Home (Meracare)","8-12 Nolan Street","FRANKSTON","3199","8-12 Nolan Street, FRANKSTON, VIC, 3199, Australia",-38.14939,145.117816,"RACF"
"Freedom Aged Care Sandringham","15-25 George Street","SANDRINGHAM","3191","15-25 George Street, SANDRINGHAM, VIC, 3191, Australia",-37.957179,145.029061,"RACF"
"Fronditha Care Clayton","94 SPRINGS Road","CLAYTON SOUTH","3169","94 SPRINGS Road, CLAYTON SOUTH, VIC, 3169, Australia",-37.936321,145.107959,"RACF"
"Fronditha Care St. Albans","181 FURLONG Road","ST ALBANS","3021","181 FURLONG Road, ST ALBANS, VIC, 3021, Australia",-37.7613245,144.811004864161,"RACF"
"Fronditha Care Templestowe","11 OMAR Street","TEMPLESTOWE LOWER","3107","11 OMAR Street, TEMPLESTOWE LOWER, VIC, 3107, Australia",-37.755854,145.116133,"RACF"
"Fronditha Care Thornbury","335 STATION Street","THORNBURY","3071","335 STATION Street, THORNBURY, VIC, 3071, Australia",-37.764523,145.020785,"RACF"
"Garden View Court Hostel","Lowe Street","ARARAT","3377","Lowe Street, ARARAT, VIC, 3377, Australia",-37.2778385,142.925176,"RACF"
"Geoffrey Cutter Centre","10 Kenny Street","BALLARAT","3350","10 Kenny Street, BALLARAT, VIC, 3350, Australia",-37.559875,143.88963,"RACF"
"Gibson Street Complex","26 GIBSON Street","NORTH BENDIGO","3550","26 GIBSON Street, NORTH BENDIGO, VIC, 3550, Australia",-36.7317389,144.2688098,"RACF"
"Gisborne Oaks","5 NEAL Street","GISBORNE","3437","5 NEAL Street, GISBORNE, VIC, 3437, Australia",-37.48581,144.584445,"RACF"
"Glanville Village","17 FRANCIS Street","ECHUCA","3564","17 FRANCIS Street, ECHUCA, VIC, 3564, Australia",-36.138092,144.7490372,"RACF"
"Glenarm Nursing Home","13-15 BURGOYNE Street","KERANG","3579","13-15 BURGOYNE Street, KERANG, VIC, 3579, Australia",-35.72441,143.917072,"RACF"
"Glendale Aged Care","1 Glendale Court","WERRIBEE","3030","1 Glendale Court, WERRIBEE, VIC, 3030, Australia",-37.877869,144.678541,"RACF"
